,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.941665165505637,0.948668231452189,660.6089477539062,13.413166046142578,9.322358131408691,0.6237106986840245,0.6343504439228492,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8446908223840875,0.8622070899258962,357.12591552734375,7.376922607421875,1.6134939193725586,0.4628013374922755,0.4824754656519127,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.36911022774475394,0.38333333333333336,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.21878159671384378,0.22666666666666666,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.16949069893931457,0.205,742.699951171875,-4.436077117919922,-3.9639945030212402,0.22670007815922277,0.2275,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7601739630676215,0.775260663507109,455.1136779785156,6.706654071807861,3.8156113624572754,0.29832681417376566,0.32492890995260665,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6358388696506727,0.636,705.5601806640625,1.7374608516693115,0.5250592231750488,0.31065716412715105,0.336,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.45899076940480604,0.46,1018.1295166015625,1.143693208694458,0.7385656237602234,0.294960155740021,0.30666666666666664,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6696000209845127,0.7025531914893617,295.8448181152344,3.0572922229766846,0.02384374476969242,0.23939479552436482,0.2570212765957447,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9441508882578921,0.944,720.2166137695312,1.9603229761123657,-1.3605401515960693,0.46254116555216607,0.478,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9161663637714675,0.9142857142857143,347.6981201171875,1.5519119501113892,-0.914469838142395,0.42191229343417397,0.4257142857142857,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9637587651131536,0.9693877551020408,514.1784057617188,15.990155220031738,6.009044647216797,0.7933692979835412,0.8006279434850864,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.70362061521707,0.7148837209302326,627.3285522460938,8.229438781738281,6.132440090179443,0.30641449287336486,0.31953488372093025,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6289402018587814,0.6431220803175812,467.0438232421875,8.128838539123535,7.694928169250488,0.35175517833170195,0.3719951079655954,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7625129018693375,0.775,465.54461669921875,-0.923545241355896,-4.003648281097412,0.45668497673334646,0.46,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3778202800716134,0.416,624.01123046875,-4.112975597381592,-4.27752685546875,0.26930045732240016,0.27,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.677938808373591,0.68,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9673558020161113,0.9708108108108108,488.1847229003906,13.034148216247559,4.971983432769775,0.7807250276108246,0.7924324324324324,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.7898108297467722,0.79,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.6214833759590792,0.63,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8097866428140617,0.8213333333333334,398.235595703125,5.598923206329346,1.282724142074585,0.4340246479713207,0.4471111111111111,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.9518081268894125,0.952,239.72740173339844,2.2293736934661865,-2.419517993927002,0.5793000411138967,0.598,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7737255975613434,0.7993951612903226,497.2579040527344,8.996527671813965,4.719706058502197,0.2711942235638374,0.29027217741935485,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.03256092988376453,0.038,576.5956420898438,-6.311128616333008,-4.670888423919678,0.09042866624177427,0.096,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.9021436713721652,0.9055276381909547,294.5638122558594,3.1285533905029297,-1.1486918926239014,0.4838049772305242,0.5035175879396985,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
23,cars,RN101 openai,RN101,openai,0.6114911080711354,0.9251336898395722,0.62292,0.9347646066349738,0.9446882334932136,374.7283020019531,10.191553115844727,6.916442394256592,0.6590681095400789,0.6679252984998469,0.8644231557846069,0.7998359799385071,0.6902579665184021,0.580987274646759
24,cifar100,RN101 openai,RN101,openai,0.4891,0.7811,0.62292,0.8453575438929093,0.8604045663929502,210.68153381347656,5.450571060180664,1.1206119060516357,0.4705010642541892,0.4908872421389946,0.8152886033058167,0.707895815372467,0.5876596570014954,0.7360517978668213
25,clevr_closest_object_distance,RN101 openai,RN101,openai,0.1398,0.7666666666666667,0.62292,0.35675783470796857,0.37,360.2536315917969,-1.6258667707443237,-1.5824207067489624,0.23382297470598276,0.23666666666666666,0.9685349464416504,0.5663290023803711,0.5707501173019409,0.7842612862586975
