,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9405854819299444,0.9475456679252985,660.6089477539062,13.4773530960083,9.359415054321289,0.6226587182209159,0.631697111950199,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8446557812039004,0.8618065291407971,357.12591552734375,7.373624801635742,1.6044856309890747,0.4598016393072313,0.4786701381934709,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3597391462967911,0.37333333333333335,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.25841141241263177,0.2633333333333333,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17173740226053516,0.21,742.699951171875,-4.436077117919922,-3.9639945030212402,0.18715146968435037,0.1875,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7596830502244047,0.7746919431279621,455.1136779785156,6.683654308319092,3.801635980606079,0.29262515425587243,0.318957345971564,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.64605946357717,0.644,705.5601806640625,1.7374608516693115,0.5250592231750488,0.31510033990647746,0.328,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4505106110638431,0.45,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3022638698667906,0.31666666666666665,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.673451041760861,0.7068085106382979,295.8448181152344,3.0541865825653076,0.01659141667187214,0.24201985939002166,0.2574468085106383,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.944239605471856,0.944,720.2166137695312,1.9576705694198608,-1.3616118431091309,0.4455400621164481,0.454,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9159976644784197,0.9142857142857143,347.6981201171875,1.5519119501113892,-0.914469838142395,0.40315000175908466,0.4057142857142857,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9639249565352475,0.9691915227629513,514.1784057617188,16.003782272338867,6.007505893707275,0.7927234919964096,0.8002354788069074,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7056036353710866,0.7167441860465116,627.3285522460938,8.238811492919922,6.197288990020752,0.30621584139833785,0.3158139534883721,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6295388071742766,0.6436032640295126,467.0438232421875,8.143096923828125,7.702066898345947,0.3486250465296669,0.36946889347795575,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7562125998489634,0.77,465.54461669921875,-0.9281141757965088,-4.00962495803833,0.4499195396267338,0.455,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3780704894181238,0.418,624.01123046875,-4.112975597381592,-4.27752685546875,0.21778625748351566,0.224,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.7097387648883996,0.71,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9672914259195193,0.9708108108108108,488.1847229003906,13.049514770507812,4.970063209533691,0.7987899252898428,0.807027027027027,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.8098288459613652,0.81,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.5829518868884142,0.59,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8073664489298884,0.8191111111111111,398.235595703125,5.609590530395508,1.2879033088684082,0.42424868679058614,0.43466666666666665,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.953843213089613,0.954,239.72740173339844,2.2293736934661865,-2.419517993927002,0.5826829108693835,0.59,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7746752870270214,0.7997983870967742,497.2579040527344,8.997037887573242,4.713502407073975,0.275743126095094,0.29501008064516127,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.03604049493813273,0.042,576.5956420898438,-6.311128616333008,-4.670888423919678,0.09485155550405938,0.096,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.9009258255121203,0.9045226130653267,294.5638122558594,3.104762554168701,-1.1620843410491943,0.48282004646353444,0.49748743718592964,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
23,cars,RN101 openai,RN101,openai,0.6114911080711354,0.9251336898395722,0.62292,0.9377424155068236,0.9476477191550158,374.7283020019531,10.210709571838379,6.912092685699463,0.6610146964541993,0.6710888866210838,0.8644231557846069,0.7998359799385071,0.6902579665184021,0.580987274646759
24,cifar100,RN101 openai,RN101,openai,0.4891,0.7811,0.62292,0.8466606953897484,0.8620068095333467,210.68153381347656,5.4475836753845215,1.112748622894287,0.46982397778991264,0.48928499899859806,0.8152886033058167,0.707895815372467,0.5876596570014954,0.7360517978668213
25,clevr_closest_object_distance,RN101 openai,RN101,openai,0.1398,0.7666666666666667,0.62292,0.3469906514624825,0.36666666666666664,360.2536315917969,-1.6258667707443237,-1.5824207067489624,0.19178146820684083,0.20333333333333334,0.9685349464416504,0.5663290023803711,0.5707501173019409,0.7842612862586975
26,clevr_count_all,RN101 openai,RN101,openai,0.239,0.8299333333333333,0.62292,0.11245369579859035,0.1725,463.4930419921875,-4.121850490570068,-3.592329978942871,0.23305712092565503,0.2375,0.9418001770973206,0.490905225276947,0.4868776202201843,0.677837610244751
27,country211,RN101 openai,RN101,openai,0.169431279620853,0.3942654028436019,0.62292,0.7771481433136589,0.7926066350710901,263.5511474609375,5.079733848571777,2.741499662399292,0.3352751758277621,0.3624644549763033,0.886817216873169,0.6476315855979919,0.5724011659622192,0.7169192433357239
28,diabetic_retinopathy,RN101 openai,RN101,openai,0.2552847433794235,1.0,0.62292,0.7625140261566117,0.772,427.2987976074219,1.7722305059432983,0.290397584438324,0.3455226772195603,0.36,0.9820497632026672,0.8460060358047485,0.840462327003479,0.7304077744483948
29,dmlab,RN101 openai,RN101,openai,0.1385089069716296,0.8032988783813504,0.62292,0.5349545151292759,0.5566666666666666,560.16943359375,0.8090618252754211,0.3654467761516571,0.2858392094905239,0.3,0.9297521114349365,0.6988058686256409,0.7045884132385254,0.7526620030403137
30,dtd,RN101 openai,RN101,openai,0.4367021276595744,0.7393617021276596,0.62292,0.6810998779959534,0.72,170.0780487060547,2.552917957305908,-0.12478660047054291,0.2803461547178006,0.29829787234042554,0.8664695024490356,0.6984894871711731,0.6437501907348633,0.7544629573822021
31,eurosat,RN101 openai,RN101,openai,0.3033333333333333,0.7901851851851852,0.62292,0.8974130364129398,0.896,306.69049072265625,2.6446101665496826,0.2519201636314392,0.5418341231019683,0.54,0.8944022059440613,0.7156988978385925,0.6636344194412231,0.6444272994995117
32,fer2013,RN101 openai,RN101,openai,0.185238078651294,0.7994357170225365,0.62292,0.9115230683159564,0.9114285714285715,178.33462524414062,0.9909637570381165,-0.8771343231201172,0.4444647994476548,0.44857142857142857,0.9389193654060364,0.796532154083252,0.7667571902275085,0.8196507096290588
33,flowers,RN101 openai,RN101,openai,0.6471306471306472,0.8498168498168498,0.62292,0.959567798705485,0.9652668759811617,249.77493286132812,11.689556121826172,4.380952835083008,0.777503686081989,0.7859105180533752,0.737277626991272,0.8170873522758484,0.6032822132110596,0.5699504613876343
34,gtsrb,RN101 openai,RN101,openai,0.3755344418052256,0.6430720506730008,0.62292,0.7581248831526968,0.7688372093023256,343.4930114746094,5.795959949493408,4.032580375671387,0.3082909912798502,0.31813953488372093,0.9471545219421387,0.8068656325340271,0.7750428915023804,0.6620900630950928
35,imagenet1k,RN101 openai,RN101,openai,0.62292,0.88268,0.62292,0.6369046121081126,0.6502997373538906,252.9756317138672,5.940751075744629,5.607625484466553,0.3645274911007998,0.38364376365860015,0.8079723119735718,0.7046440243721008,0.664626955986023,0.7041242122650146
36,kitti_closest_vehicle_distance,RN101 openai,RN101,openai,0.2770745428973277,1.0,0.62292,0.7773313642878861,0.785,214.38296508789062,-1.4044106006622314,-3.240375280380249,0.46903251786972716,0.465,0.9195147752761841,0.7450785636901855,0.729067862033844,0.8243674635887146
37,mnist,RN101 openai,RN101,openai,0.5169833333333334,0.9056833333333332,0.62292,0.3063323320367615,0.376,425.6688537597656,-3.6127536296844482,-3.4786064624786377,0.2320119090992041,0.238,0.9778667688369751,0.6577515602111816,0.6486843228340149,0.7945625185966492
38,pcam,RN101 openai,RN101,openai,0.57806396484375,1.0,0.62292,0.949874686716792,0.95,585.3731689453125,0.8447228670120239,-1.945281744003296,0.6483516483516484,0.68,0.9327862858772278,0.7041887044906616,0.6688210964202881,0.6696357727050781
39,pets,RN101 openai,RN101,openai,0.868629054238212,0.9896429544835104,0.62292,0.9778348312407343,0.9789189189189189,241.80409240722656,9.545112609863281,3.7346744537353516,0.7702625409402002,0.778918918918919,0.7252624034881592,0.7488047480583191,0.565205991268158,0.5488295555114746
40,renderedsst2,RN101 openai,RN101,openai,0.6386600768808347,1.0,0.62292,0.68996899689969,0.69,1390.51708984375,-0.005909383296966553,-0.4085143506526947,0.5866518802298619,0.59,0.9752371907234192,0.7370540499687195,0.7345459461212158,0.7419533729553223
