Model,Dataset,ECE,ACE,Accuracy
RN101_openai,mnist,0.21674717962741852,0.21674714982509613,0.5227323120299314
RN101_openai,pcam,0.012622766196727753,0.020420217886567116,0.5783676815778629
RN101_openai,pets,0.05474179610610008,0.05371922254562378,0.8658615867467284
RN101_openai,renderedsst2,0.03538801148533821,0.04209697246551514,0.6386518586069133
RN101_openai,resisc45,0.07282327860593796,0.07282330095767975,0.5881293988512388
RN101_openai,stl10,0.02859567478299141,0.028490237891674042,0.968
RN101_openai,sun397,0.044181499630212784,0.04425724595785141,0.5931292278962671
RN101_openai,svhn,0.0752420574426651,0.07885453850030899,0.230439375883154
RN101_openai,voc2007,0.09827995300292969,0.09814348071813583,0.7583363987350552
BEIT3_retrieval_base_f30k,cars,0.05343278869986534,0.05343921110033989,0.7864892126876132
BEIT3_retrieval_base_f30k,cifar100,0.01680094003677368,0.016529947519302368,0.6327999999999999
BEIT3_retrieval_base_f30k,clevr_closest_object_distance,0.34016504883766174,0.34016504883766174,0.16736926559579
BEIT3_retrieval_base_f30k,clevr_count_all,0.06810588389635086,0.07325611263513565,0.2585381173969729
BEIT3_retrieval_base_f30k,country211,0.11943713575601578,0.11940984427928925,0.1645971563981043
BEIT3_retrieval_base_f30k,diabetic_retinopathy,0.12968824803829193,0.12961851060390472,0.20762091243958913
BEIT3_retrieval_base_f30k,dmlab,0.22063985466957092,0.22041146457195282,0.15918921834122887
BEIT3_retrieval_base_f30k,dtd,0.0627959817647934,0.06324055790901184,0.6053191489361702
BEIT3_retrieval_base_f30k,eurosat,0.03404054790735245,0.034663066267967224,0.33966812462954304
BEIT3_retrieval_base_f30k,fer2013,0.2749931216239929,0.2749388515949249,0.21116131416630182
BEIT3_retrieval_base_f30k,flowers,0.038036733865737915,0.03171171993017197,0.6271052428211848
BEIT3_retrieval_base_f30k,gtsrb,0.05603024736046791,0.05587082728743553,0.3203587110657384
BEIT3_retrieval_base_f30k,kitti_closest_vehicle_distance,0.33658674359321594,0.33536383509635925,0.4247820352418282
BEIT3_retrieval_base_f30k,mnist,0.09136249125003815,0.09160354733467102,0.6635771697279685
BEIT3_retrieval_base_f30k,pcam,0.27667075395584106,0.2767164409160614,0.49972556340155233
BEIT3_retrieval_base_f30k,pets,0.03899282589554787,0.03745979443192482,0.8825820648354611
BEIT3_retrieval_base_f30k,renderedsst2,0.17506302893161774,0.1746319979429245,0.516769440101905
BEIT3_retrieval_base_f30k,resisc45,0.025132298469543457,0.023338865488767624,0.6105147349585867
BEIT3_retrieval_base_f30k,stl10,0.014547418802976608,0.014039130881428719,0.9661249999999999
BEIT3_retrieval_base_f30k,sun397,0.017158277332782745,0.017187882214784622,0.6907845465869682
BEIT3_retrieval_base_f30k,svhn,0.21063624322414398,0.21063998341560364,0.2378846787126625
BEIT3_retrieval_base_f30k,voc2007,0.07718488574028015,0.07556799054145813,0.856571674212376
ViT-B-32_laion2b_e16,cars,0.007815574295818806,0.008749602362513542,0.8450495734040635
ViT-B-32_laion2b_e16,cifar100,0.060996752232313156,0.05996563285589218,0.7583
ViT-B-32_laion2b_e16,clevr_closest_object_distance,0.21232520043849945,0.21232520043849945,0.16995654910204747
