,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9451023263933722,0.9521379732625778,660.6089477539062,13.153218269348145,9.180354118347168,0.6278981361556958,0.6371058271252169,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8386819333421013,0.8569997997196075,357.12591552734375,7.250879287719727,1.5600063800811768,0.4708016889809632,0.48908471860604846,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3677838206947796,0.38333333333333336,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.19763924164115057,0.20666666666666667,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17137026281600254,0.2075,742.699951171875,-4.436077117919922,-3.9639945030212402,0.19884236887182988,0.1975,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7600473891296834,0.7749763033175355,455.1136779785156,6.683654308319092,3.801635980606079,0.29459508242586985,0.3232227488151659,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6402925926695329,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.36585235062870775,0.388,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4707440770542697,0.47333333333333333,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3442417211823788,0.35333333333333333,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6661549668695584,0.7,295.8448181152344,2.9980099201202393,-0.03588629886507988,0.25099345366088643,0.26978723404255317,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9441000214365163,0.944,720.2166137695312,1.7753251791000366,-1.4800893068313599,0.45686325238154507,0.464,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.921424847026325,0.92,347.6981201171875,1.5519119501113892,-0.914469838142395,0.43000736228714276,0.4257142857142857,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9590036473602049,0.966640502354788,514.1784057617188,15.519282341003418,5.76323127746582,0.7812013030763204,0.7888540031397174,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7098723538887033,0.7204651162790697,627.3285522460938,8.238811492919922,6.197288990020752,0.31800272178770855,0.3316279069767442,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.611227074940817,0.627724201535778,467.0438232421875,7.472753524780273,7.292603015899658,0.35139355200811895,0.371894861358943,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7669000464503013,0.78,465.54461669921875,0.011998236179351807,-3.043337821960449,0.5203004832397489,0.53,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.38312962974063547,0.42,624.01123046875,-4.112975597381592,-4.27752685546875,0.23131757828331515,0.236,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.6499649964996499,0.65,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9803426412213238,0.9821621621621621,488.1847229003906,12.981457710266113,4.874298572540283,0.7692345879868345,0.778918918918919,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.8098288459613652,0.81,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.5295766189570613,0.53,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.7970528253837357,0.8093333333333333,398.235595703125,5.190152645111084,0.986784040927887,0.4255027306719161,0.43733333333333335,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
19,stl10,RN50 openai,RN50,openai,0.941875,0.99825,0.59836,0.951869544476929,0.952,239.72740173339844,2.2209746837615967,-2.3126931190490723,0.5339656455152276,0.544,0.9146037101745605,0.7016298174858093,0.6374408006668091,0.8499776721000671
20,sun397,RN50 openai,RN50,openai,0.594709160122846,0.8928499181639296,0.59836,0.7695887785402838,0.7950604838709677,497.2579040527344,8.849102973937988,4.654716491699219,0.27130283347107853,0.2905241935483871,0.8805046677589417,0.779728353023529,0.7113891243934631,0.8050659894943237
21,svhn,RN50 openai,RN50,openai,0.267440073755378,0.6903042409342348,0.59836,0.03592101296352126,0.042,576.5956420898438,-6.311128616333008,-4.670888423919678,0.09526243636862682,0.102,0.9813440442085266,0.515189528465271,0.5253313183784485,0.8370237350463867
22,voc2007,RN50 openai,RN50,openai,0.6434962606837606,0.9141292735042736,0.59836,0.9015285501927011,0.9045226130653267,294.5638122558594,3.085736036300659,-1.1357882022857666,0.47692996367595625,0.4914572864321608,0.8862248659133911,0.672693133354187,0.6036297082901001,0.8283053636550903
