,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9415962035484235,0.948362077763037,660.6089477539062,13.4773530960083,9.359415054321289,0.6199504547350679,0.6293499336667007,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8404750671749597,0.8588023232525536,357.12591552734375,7.21978759765625,1.494177222251892,0.45027530237925484,0.4696575205287402,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.36817317628764296,0.38666666666666666,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.16411285837751727,0.17,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.16472343365577585,0.2,742.699951171875,-4.436077117919922,-3.9639945030212402,0.20375105183431755,0.205,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7555235178871884,0.7711848341232227,455.1136779785156,6.698298931121826,3.836710214614868,0.3055431873132225,0.3300473933649289,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6419271895145877,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3758630708630709,0.396,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4754267429170484,0.4766666666666667,1018.1295166015625,1.143693208694458,0.7385656237602234,0.3832326844144867,0.4,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6738720536520469,0.7072340425531914,295.8448181152344,3.053473711013794,0.01723363809287548,0.24894004074048048,0.2680851063829787,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9482593626511939,0.948,720.2166137695312,1.9576705694198608,-1.3616118431091309,0.4713042067541565,0.484,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9189688392127887,0.9171428571428571,347.6981201171875,1.5519119501113892,-0.914469838142395,0.4574098287038553,0.45714285714285713,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9643720746489033,0.9695839874411303,514.1784057617188,16.003782272338867,6.007505893707275,0.7934076180610198,0.8008241758241759,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7100352238669575,0.7204651162790697,627.3285522460938,8.238811492919922,6.197288990020752,0.31123923287557603,0.3241860465116279,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6096832750012133,0.6271026725745333,467.0438232421875,7.621883869171143,7.378359794616699,0.34941095993857446,0.3705515568298013,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.6929053356435798,0.725,465.54461669921875,-1.6578755378723145,-4.510583400726318,0.41288033431996285,0.42,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3841974858578354,0.424,624.01123046875,-4.112975597381592,-4.27752685546875,0.2305766709327081,0.234,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.6767676767676767,0.68,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9680980435549335,0.9713513513513513,488.1847229003906,13.049514770507812,4.970063209533691,0.7797689391841843,0.7908108108108108,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.7999199679871949,0.8,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.6659580929243851,0.67,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
