,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.940249848170222,0.9466272068578426,660.6089477539062,13.1188325881958,9.158676147460938,0.6237680899658512,0.6350648025308705,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8449662327663222,0.8624073703184458,357.12591552734375,7.373624801635742,1.6044856309890747,0.45864830387356714,0.48127378329661524,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3603264248668166,0.37666666666666665,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.2126651437349556,0.22333333333333333,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.158193554023625,0.2,742.699951171875,-4.43677282333374,-3.9309351444244385,0.2392700519691306,0.2375,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.758836186424039,0.7743127962085308,455.1136779785156,6.723397731781006,3.85760235786438,0.29924647126478016,0.32644549763033176,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6419609983898217,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3393140475958688,0.356,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4887388139205721,0.4866666666666667,1018.1295166015625,0.9342469573020935,0.665052056312561,0.3484442059412503,0.36333333333333334,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6707580894759199,0.7038297872340425,295.8448181152344,3.1065895557403564,0.07862749695777893,0.25913009252762875,0.28,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.940094359947854,0.94,720.2166137695312,1.930323600769043,-1.3538057804107666,0.4588651354913636,0.46,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9159220504343139,0.9142857142857143,347.6981201171875,1.5519119501113892,-0.914469838142395,0.41165731072718365,0.4114285714285714,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9672838448338762,0.9713500784929356,514.1784057617188,16.081911087036133,6.053725719451904,0.7906326249133795,0.7970957613814756,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7096214573525297,0.7209302325581395,627.3285522460938,8.205121040344238,6.196286201477051,0.3094701323146427,0.3218604651162791,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.644077501807948,0.6547105880465947,467.0438232421875,8.38868522644043,7.823087215423584,0.35398907528733115,0.37498245684383585,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7581957381109924,0.77,465.54461669921875,-0.929867148399353,-4.02166748046875,0.45330339947533915,0.455,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3686662113634901,0.404,624.01123046875,-4.225865840911865,-4.332606315612793,0.20956472558783,0.22,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.629666700030027,0.63,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9673083069064271,0.9708108108108108,488.1847229003906,12.95492172241211,4.915476322174072,0.7679976013878015,0.7805405405405406,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
17,renderedsst2,RN50 openai,RN50,openai,0.5656232839099395,1.0,0.59836,0.7996794871794872,0.8,3109.054443359375,0.21670877933502197,-0.9463624954223633,0.5555555555555556,0.56,0.9816573262214661,0.77998948097229,0.77552330493927,0.774692714214325
18,resisc45,RN50 openai,RN50,openai,0.5380952380952381,0.8682539682539683,0.59836,0.8099580624736935,0.8217777777777778,398.235595703125,5.643914222717285,1.2948673963546753,0.41948773230524483,0.42977777777777776,0.8947016000747681,0.7650179266929626,0.6963770389556885,0.7210544943809509
