,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9403327246881779,0.9474436166955812,660.6089477539062,13.4773530960083,9.359415054321289,0.6256692610539798,0.6347586488417185,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.8438209557031455,0.8614059683556979,357.12591552734375,7.373883247375488,1.6032016277313232,0.46060713244734935,0.47987182054876826,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.3667006755603152,0.38333333333333336,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.2452919330906306,0.25666666666666665,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.18041001891136899,0.215,742.699951171875,-4.436077117919922,-3.9639945030212402,0.19898330472970965,0.2025,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7591909987760682,0.7745023696682465,455.1136779785156,6.683654308319092,3.801635980606079,0.30100305564873897,0.32654028436018956,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6406995926126615,0.64,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3357107818917399,0.344,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.46207083518959663,0.4633333333333333,1018.1295166015625,1.143693208694458,0.7385656237602234,0.29593996216876567,0.31333333333333335,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.6687466694762361,0.7017021276595745,295.8448181152344,3.0541865825653076,0.01659141667187214,0.27543797781285345,0.29404255319148936,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9442039825891546,0.944,720.2166137695312,1.9576705694198608,-1.3616118431091309,0.4647368689432261,0.47,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9216015067728706,0.92,347.6981201171875,1.5519119501113892,-0.914469838142395,0.38432602680274225,0.38571428571428573,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
10,flowers,RN50 openai,RN50,openai,0.6568986568986569,0.8467643467643468,0.59836,0.9642357482904961,0.9693877551020408,514.1784057617188,16.003782272338867,6.007505893707275,0.7999359953020574,0.8063186813186813,0.7502390742301941,0.7997622489929199,0.5845695734024048,0.57808518409729
11,gtsrb,RN50 openai,RN50,openai,0.3507521773555028,0.6303246239113223,0.59836,0.7093237373370079,0.7204651162790697,627.3285522460938,8.238811492919922,6.197288990020752,0.3141962281894335,0.3251162790697674,0.9538191556930542,0.8117638230323792,0.7881810665130615,0.6914697885513306
12,imagenet1k,RN50 openai,RN50,openai,0.59836,0.86538,0.59836,0.6290469275463563,0.6433426228522164,467.0438232421875,8.131321907043457,7.692590236663818,0.35232620064118975,0.3730978206387714,0.824849545955658,0.7115932703018188,0.672161877155304,0.7368203401565552
13,kitti_closest_vehicle_distance,RN50 openai,RN50,openai,0.1673699015471167,1.0,0.59836,0.7562125998489634,0.77,465.54461669921875,-0.9281141757965088,-4.00962495803833,0.45486204350161114,0.465,0.9299591779708862,0.7601959705352783,0.7437426447868347,0.8131975531578064
14,mnist,RN50 openai,RN50,openai,0.5743333333333334,0.90735,0.59836,0.3756819701138301,0.39,624.01123046875,-4.497072696685791,-4.390252113342285,0.238502859638798,0.244,0.9750857353210449,0.7359105348587036,0.7276938557624817,0.8294203877449036
15,pcam,RN50 openai,RN50,openai,0.602294921875,1.0,0.59836,0.9194847020933978,0.92,1400.222900390625,0.30021095275878906,-2.559333324432373,0.7398959583833533,0.74,0.9581174850463867,0.7167333364486694,0.6945861577987671,0.6296050548553467
16,pets,RN50 openai,RN50,openai,0.8579994548923412,0.992913600436086,0.59836,0.9672318595601748,0.9708108108108108,488.1847229003906,13.049514770507812,4.970063209533691,0.775317495321715,0.7837837837837838,0.7293567061424255,0.7252554297447205,0.5331763029098511,0.5647096633911133
